ID,Tipo,Data,Responsável,Fornecedor,Quem Recebeu,Quem Cadastrou,Local,Material,Tipo Material,Qtd Pacotes,Unids. por Pacote,Qtd Total,Valor Unit.,Valor Total,Obs,Status,Motivo Exclusão,Data Exclusão
1776716398007,Saída,2026-04-20 17:19,MURILLO,,,,QUARTA PARADA,ROSA CHAMPANHE,VENDA LOJA,3,20,60,0,0,,ATIVO,,
1776716434582,Entrada,2026-04-20 17:19,MURILLO,,,,QUARTA PARADA,ROSAS BRANCAS,ORNAMENTAÇÃO,26,20,520,0,0,,ATIVO,,
1776716483102,Entrada,2026-04-20 17:20,MURILLO,,,,QUARTA PARADA,ROSAS PINK,ORNAMENTAÇÃO,8,20,160,0,0,,ATIVO,,
1776716512376,Entrada,2026-04-20 17:21,MURILLO,,,,QUARTA PARADA,ROSAS VERMELHAS,ORNAMENTAÇÃO,3,20,60,0,0,,ATIVO,,
1776849847923,Saída,2026-04-20 17:21,MURILLO,,,,QUARTA PARADA,CRISANTREMOS BRANCOS,ORNAMENTAÇÃO,120,19,2280,0,0,,ATIVO,,
1776849891129,Entrada,2026-04-22 06:24,MURILLO,,,,QUARTA PARADA,GIPSOFILA,ORNAMENTAÇÃO,31,6,186,0,0,,ATIVO,,
1776849922566,Saída,2026-04-22 06:24,MURILLO,,,,QUARTA PARADA,ROSAS BRANCAS,ORNAMENTAÇÃO,15,20,300,0,0,,ATIVO,,
1776849961401,Saída,2026-04-22 06:25,MURILLO,,,,QUARTA PARADA,ROSAS BRANCAS,ORNAMENTAÇÃO,3,20,60,0,0,,ATIVO,,
1776849984569,Entrada,2026-04-22 06:26,MURILLO,,,,QUARTA PARADA,VASO DE CRISANTEMO BRANCO,VENDA LOJA,0,0,2,0,0,,ATIVO,,
1776850006947,Saída,2026-04-22 06:26,MURILLO,,,,QUARTA PARADA,VASO DE CRISANTEMO VERMELHO,VENDA LOJA,0,0,1,0,0,,ATIVO,,
1776850077729,Saída,2026-04-22 06:26,MURILLO,,,,QUARTA PARADA,ROSAS PINK,ORNAMENTAÇÃO,7,20,140,0,0,,ATIVO,,
1776852213984,Saída,2026-04-22 06:27,MURILLO,,,,QUARTA PARADA,CRISANTREMOS BRANCOS,ORNAMENTAÇÃO,6,19,114,0,0,,ATIVO,,
1776852233017,Saída,2026-04-22 07:03,MURILLO,,,,QUARTA PARADA,CRISANTREMOS BRANCOS,ORNAMENTAÇÃO,1,19,19,0,0,,ATIVO,,
1776852262104,Saída,2026-04-22 07:03,MURILLO,,,,QUARTA PARADA,LISIANTUS BRANCOS,ORNAMENTAÇÃO,3,36,108,0,0,,ATIVO,,
1776945771626,Entrada,2026-04-23T12:02:51.625Z,MURILLO,,,MURILLO,LOJA,ROSAS BRANCAS,ORNAMENTAÇÃO,0,0,1,0,0,Movimentação ← QUARTA PARADA,ATIVO,,
1776945771626,Saída,2026-04-23T12:02:51.625Z,MURILLO,,,MURILLO,QUARTA PARADA,ROSAS BRANCAS,ORNAMENTAÇÃO,0,0,1,0,0,Movimentação → LOJA,ATIVO,,
